Node_Name,Incoming_Edges,Outgoing_Edges,Total_Edges
SH3BP4,1,1,2
CSTF2T,2,0,2
SEPTIN12,1,1,2
SEPTIN9,1,1,2
SIGMAR1,1,1,2
SRSF3,1,1,2
TRAF7,1,1,2
RNPS1,2,0,2
SUGP2,2,0,2
ACTG1,2,0,2
SLC2A3,2,0,2
PTGS1,2,0,2
AQP3,2,0,2
C8A,2,0,2
HNRNPF,2,0,2
MNX1,2,0,2
SMCR8,0,2,2
HSPA9,1,1,2
PRODH,2,0,2
SOX1,0,2,2
PELI2,1,1,2
RNF6,1,1,2
HRK,0,2,2
NEIL2,2,0,2
HOXC4,2,0,2
IFIT1,2,0,2
OAS1,2,0,2
QKI,2,0,2
EED,2,0,2
TCEA1,1,1,2
GDI1,1,1,2
EBI3,0,2,2
GOT1,2,0,2
PTP4A2,1,1,2
TMED10,1,1,2
RNF14,1,1,2
NOXO1,1,1,2
MAP3K9,1,1,2
HERPUD1,1,1,2
PARP2,1,1,2
PKN3,1,1,2
IRX4,1,1,2
ERC1,1,1,2
LBX1,0,2,2
RAD51C,1,1,2
RAG1,1,1,2
UGT1A10,2,0,2
UGT1A7,2,0,2
UGT1A8,2,0,2
HLA-E,2,0,2
PCLAF,2,0,2
FXYD2,2,0,2
ARHGAP15,1,1,2
ENC1,1,1,2
CENPF,2,0,2
ARG2,2,0,2
RPA3,2,0,2
AQP5,2,0,2
FABP7,2,0,2
FOXI2,2,0,2
HEYL,2,0,2
GSTA2,2,0,2
KCNJ15,2,0,2
MICB,2,0,2
OGDH,2,0,2
INPP4B,0,2,2
ERCC2,1,1,2
IFNL3,0,2,2
IFNW1,0,2,2
ELOC,1,1,2
GCLM,2,0,2
ANXA4,2,0,2
TPT1,2,0,2
AJUBA,2,0,2
LMNB2,2,0,2
PHF8,2,0,2
RAB5B,2,0,2
CCNG2,2,0,2
DEPDC1,2,0,2
NUF2,2,0,2
SOCS6,0,2,2
OTUD5,1,1,2
IGFBP2,2,0,2
HYOU1,2,0,2
GPC5,2,0,2
S100A2,2,0,2
SH2D1A,2,0,2
RASGRP2,2,0,2
SCP2,2,0,2
SLC16A1,2,0,2
SLC26A3,2,0,2
LRRTM3,2,0,2
CYTH3,0,2,2
PLA2G6,0,2,2
PLAAT3,0,2,2
PLAC8,1,1,2
PYHIN1,0,2,2
COL9A3,0,2,2
MMP26,0,2,2
MNAT1,1,1,2
ASH1L,0,2,2
CENPX,1,1,2
CEP290,1,1,2
ORC2,2,0,2
POLL,2,0,2
PUM2,2,0,2
DOK5,2,0,2
PSMB4,2,0,2
PRMT2,0,2,2
RASSF5,0,2,2
PRDM14,1,1,2
SALL1,2,0,2
SEC23A,2,0,2
SEC23B,2,0,2
ZFYVE16,2,0,2
CD83,2,0,2
SLC7A1,2,0,2
DCAF7,0,2,2
ATP6AP1,0,2,2
ATP7A,1,1,2
IFNA5,0,2,2
NBEA,0,2,2
NCAN,0,2,2
NCBP1,1,1,2
SMPD1,2,0,2
COPS2,0,2,2
COPS3,1,1,2
ALPI,1,1,2
TNFRSF13B,2,0,2
LRRFIP2,0,2,2
ASIP,0,2,2
MYO18A,2,0,2
PDE4C,2,0,2
DBI,2,0,2
PFKFB1,2,0,2
PTPRCAP,2,0,2
TPPP,2,0,2
CST3,2,0,2
RBBP4,1,1,2
SDHB,2,0,2
CACNA1G,2,0,2
LDHC,2,0,2
IFNA16,0,2,2
IFNA17,0,2,2
IFNA21,0,2,2
ICMT,0,2,2
FTH1,2,0,2
GPX2,2,0,2
TUBB2A,2,0,2
RPS6KA6,1,1,2
CUL2,1,1,2
MSI2,1,1,2
LCN2,0,2,2
SERPINB9,1,1,2
SLC5A8,2,0,2
SOD3,2,0,2
CLDN8,2,0,2
SIX6,2,0,2
CTSA,2,0,2
TNIP2,2,0,2
THBS3,0,2,2
THBS4,0,2,2
RECQL5,1,1,2
NR1D2,1,1,2
ELOA,2,0,2
TUBGCP6,2,0,2
CPEB1,2,0,2
CHRNA4,2,0,2
OMD,2,0,2
PSMC3,0,2,2
ANKS1B,1,1,2
NDUFV2,2,0,2
PADI3,2,0,2
PON1,2,0,2
FAAP24,0,2,2
HOXB4,1,1,2
CDK5RAP3,0,2,2
FBLN2,0,2,2
SLC26A4,2,0,2
TRIP4,2,0,2
DCLRE1A,2,0,2
NCKIPSD,2,0,2
CHRNB2,1,1,2
MVP,0,2,2
SCUBE2,1,1,2
NDUFA8,2,0,2
GADD45G,2,0,2
FBXL17,0,2,2
FBXO11,0,2,2
FGF22,0,2,2
GJB6,1,1,2
GRHL2,1,1,2
GRIA3,1,1,2
FANCG,1,1,2
TIMD4,1,1,2
TNFRSF6B,1,1,2
TEAD2,2,0,2
TEAD3,2,0,2
CCNB1IP1,2,0,2
IFITM1,1,1,2
RPS27A,2,0,2
CLDN9,2,0,2
PLCB4,0,2,2
MGLL,2,0,2
AP2B1,2,0,2
ELOVL6,2,0,2
RBM4,2,0,2
RCC1,2,0,2
PRF1,2,0,2
ARG1,2,0,2
MARCHF11,1,0,1
HSD17B1,1,0,1
SYNE3,1,0,1
LARS2,1,0,1
NARS2,1,0,1
ATMIN,1,0,1
ANTXR1,1,0,1
CRABP1,1,0,1
CBX7,0,1,1
CSNK2A3,0,1,1
UBE2E1,0,1,1
PHF6,0,1,1
KIF5A,0,1,1
TUBA3E,1,0,1
TUBA3C,1,0,1
POSTN,1,0,1
HTR5A,1,0,1
SECISBP2L,1,0,1
PHLDA1,1,0,1
KNSTRN,1,0,1
XRCC2,1,0,1
SMARCAL1,1,0,1
DGKA,1,0,1
CELF2,1,0,1
S100P,1,0,1
H2BC9,1,0,1
INF2,1,0,1
SERPINB1,1,0,1
LTBP3,0,1,1
SETD1A,0,1,1
SDHAF2,0,1,1
GAS2L1,1,0,1
TUBB6,1,0,1
TUBB4B,1,0,1
TUBB4A,1,0,1
TUBA8,1,0,1
CARS1,1,0,1
AARS2,1,0,1
LHX8,1,0,1
PLP1,1,0,1
SS18L1,0,1,1
PRKAG2,0,1,1
ELAVL2,0,1,1
EVC2,1,0,1
EVC,1,0,1
SUV39H2,1,0,1
SEC16B,1,0,1
MUC6,1,0,1
TPP1,1,0,1
NDUFB10,1,0,1
NDUFA13,1,0,1
NDUFA1,1,0,1
SQLE,1,0,1
GLRB,1,0,1
POLRMT,1,0,1
GJC1,1,0,1
SMARCA1,1,0,1
SLC25A1,1,0,1
SERTAD2,0,1,1
MSMP,0,1,1
CHP1,0,1,1
DOCK3,0,1,1
GLIS3,1,0,1
MSLN,1,0,1
IDI1,1,0,1
LIPF,1,0,1
CHRNB4,1,0,1
LAT2,1,0,1
AEBP2,1,0,1
ZP1,1,0,1
SERPINH1,1,0,1
PNPLA3,0,1,1
NANOS1,0,1,1
SF3B4,0,1,1
SEMA4F,0,1,1
MGST1,1,0,1
GCNT1,1,0,1
PRAME,1,0,1
COL11A2,1,0,1
HSD17B4,1,0,1
PLXNC1,1,0,1
HDAC10,0,1,1
FUT4,1,0,1
CELSR2,1,0,1
UBE2H,1,0,1
ATP6V0D2,1,0,1
HR,1,0,1
EDN2,1,0,1
ASCC3,1,0,1
SEPTIN6,1,0,1
OTX1,1,0,1
SEC24D,1,0,1
SEC24C,1,0,1
SEC24A,1,0,1
TRO,1,0,1
AIFM2,1,0,1
CDC45,1,0,1
DOC2A,0,1,1
IL1F10,0,1,1
AMELX,0,1,1
SLCO1A2,1,0,1
SLC6A6,1,0,1
ATP2A3,1,0,1
HMGCS2,1,0,1
GALT,1,0,1
TUBB1,1,0,1
TMEM37,1,0,1
STAMBPL1,1,0,1
SLC11A2,1,0,1
TRIAP1,1,0,1
TP53I3,1,0,1
TIGAR,1,0,1
STEAP3,1,0,1
SLC38A2,1,0,1
SCN3B,1,0,1
SCARA3,1,0,1
P4HA2,1,0,1
P2RX6,1,0,1
SSH3,0,1,1
SSH2,0,1,1
PSAT1,1,0,1
PRRG4,1,0,1
KDM7A,0,1,1
SOHLH2,0,1,1
ST8SIA4,0,1,1
DNAJC8,1,0,1
CTSZ,1,0,1
ADRM1,0,1,1
DAAM2,0,1,1
VSTM4,1,0,1
DYNC1H1,1,0,1
UBD,1,0,1
DAD1,1,0,1
PGM2,1,0,1
GSTM1,1,0,1
ARFGAP2,1,0,1
ITLN1,1,0,1
RAE1,0,1,1
MYCBP,0,1,1
SPO11,1,0,1
SLC22A10,1,0,1
PLA1A,1,0,1
PRM1,1,0,1
ATP1B2,1,0,1
ASPA,1,0,1
ADAM19,1,0,1
DEPDC5,1,0,1
RASA3,1,0,1
ATP5F1E,1,0,1
MIXL1,1,0,1
MYCL,1,0,1
CYP1A2,1,0,1
C1S,1,0,1
APOH,1,0,1
APCS,1,0,1
NAPA,1,0,1
MT1X,1,0,1
ITIH4,1,0,1
CACNA2D3,0,1,1
SEPTIN4,0,1,1
SEM1,0,1,1
HSD17B2,1,0,1
SHMT2,1,0,1
SH3BGRL3,0,1,1
SHMT1,1,0,1
FUT3,1,0,1
CDH24,0,1,1
EIF5A,0,1,1
EIF4E2,0,1,1
PATZ1,0,1,1
ANXA7,0,1,1
ANXA6,0,1,1
TMEM222,1,0,1
RAB11B,1,0,1
H2AC6,1,0,1
CLP1,1,0,1
MCM8,1,0,1
RGS6,0,1,1
RGS4,0,1,1
RGS3,0,1,1
ARHGAP10,0,1,1
SNTB1,0,1,1
SEMG2,1,0,1
SNRPB,1,0,1
CDH23,0,1,1
CDH22,0,1,1
CDH20,0,1,1
CDH19,0,1,1
IL17RD,0,1,1
IL17B,0,1,1
GAS7,0,1,1
EAF2,0,1,1
SLC18A3,1,0,1
PGA5,1,0,1
PIP4K2C,1,0,1
NAA10,0,1,1
CD1D,0,1,1
BCL2L12,1,0,1
SCEL,0,1,1
CAB39,0,1,1
TSKU,1,0,1
TDRD1,1,0,1
EPB41L4B,1,0,1
TCP1,1,0,1
CCT8,1,0,1
RAB27A,1,0,1
PAPSS2,1,0,1
MLPH,1,0,1
LSS,1,0,1
GPX3,1,0,1
CLDN18,1,0,1
ARL4C,1,0,1
AOX1,1,0,1
ABCC4,1,0,1
RASAL2,1,0,1
PAQR3,1,0,1
GSR,1,0,1
CPT1C,1,0,1
SMYD5,1,0,1
HOXB5,1,0,1
CLDN14,0,1,1
CKS2,0,1,1
AIF1,0,1,1
CYP26A1,1,0,1
CAPN10,1,0,1
ACTG2,1,0,1
SLC8A1,1,0,1
WFDC2,1,0,1
TMEM97,1,0,1
SFTPA2,1,0,1
CNTRL,0,1,1
NELL2,1,0,1
CCT7,1,0,1
IL27,0,1,1
LMAN2,0,1,1
PPP4R3A,0,1,1
SCGB3A1,0,1,1
CCT6A,1,0,1
CCT5,1,0,1
CCT4,1,0,1
CCT3,1,0,1
UGT1A6,1,0,1
KRT15,1,0,1
HSD17B10,1,0,1
MLLT6,1,0,1
UCP3,1,0,1
TBX18,1,0,1
EOMES,1,0,1
SLC34A1,1,0,1
SNRPE,1,0,1
NDUFB3,1,0,1
GNG10,1,0,1
TSPAN17,1,0,1
GPNMB,1,0,1
SLC39A14,1,0,1
PNMT,1,0,1
NUP160,1,0,1
TAF15,1,0,1
PRSS23,0,1,1
EIF3F,0,1,1
CDH18,0,1,1
COL21A1,0,1,1
UQCRQ,1,0,1
UQCRH,1,0,1
UQCRFS1,1,0,1
SLC25A11,1,0,1
PDHB,1,0,1
NDUFS1,1,0,1
NDUFB11,1,0,1
NDUFAB1,1,0,1
NDUFA6,1,0,1
NDUFA3,1,0,1
NDUFA10,1,0,1
ALDH4A1,1,0,1
ABCB4,1,0,1
HAGH,1,0,1
PLIN2,1,0,1
CIDEC,1,0,1
COX6A1,1,0,1
COX5A,1,0,1
BRK1,1,0,1
ATP5MC3,1,0,1
CYP11B1,1,0,1
BCL7A,1,0,1
ARL2,1,0,1
ALOX5AP,1,0,1
IL25,0,1,1
BTG3,0,1,1
EMX2,1,0,1
COX4I2,1,0,1
ATP5MC2,1,0,1
ATP5MC1,1,0,1
WDR5,1,0,1
CHD1L,1,0,1
NDUFS3,1,0,1
DNMT3L,1,0,1
MED12,1,0,1
NKX2-2,1,0,1
PIGF,0,1,1
CHRD,1,0,1
TOMM20,1,0,1
TFB1M,1,0,1
SLC46A1,1,0,1
SLC25A5,1,0,1
SDHD,1,0,1
COX8A,1,0,1
COX7B,1,0,1
COX7A2,1,0,1
COX6C,1,0,1
COX6B1,1,0,1
DCP1A,1,0,1
TRAP1,1,0,1
SULT4A1,1,0,1
PI3,0,1,1
ANG,0,1,1
MLLT11,0,1,1
FANCF,1,0,1
CENPS,1,0,1
SULT2A1,1,0,1
CXCL17,0,1,1
CXCL14,0,1,1
SLC7A5,0,1,1
SP6,0,1,1
MAGEA11,1,0,1
VDAC3,1,0,1
UQCRB,1,0,1
SPINK1,0,1,1
CNMD,0,1,1
PAFAH1B2,0,1,1
PAF1,0,1,1
FAN1,1,0,1
MUC15,1,0,1
FOXN3,0,1,1
PCDH9,0,1,1
PCDH10,0,1,1
RYR3,1,0,1
CLEC4M,1,0,1
VPS16,1,0,1
ARFIP2,1,0,1
PDE4A,1,0,1
HSPA1L,1,0,1
DAZL,1,0,1
JAZF1,0,1,1
RIMBP2,0,1,1
BRD7,0,1,1
SLC6A1,1,0,1
ITPR3,0,1,1
FRAT2,0,1,1
FOXQ1,0,1,1
GADD45B,0,1,1
HMMR,1,0,1
SGCG,1,0,1
PKP1,1,0,1
TBC1D7,1,0,1
SLC7A11,1,0,1
PYGO2,1,0,1
PIK3R6,1,0,1
SMYD3,0,1,1
IVL,1,0,1
DMBT1,1,0,1
DEFA6,1,0,1
DEFA5,1,0,1
TPD52,1,0,1
HOMER3,1,0,1
CSH2,0,1,1
CSH1,0,1,1
SLC34A2,0,1,1
SLC2A4RG,0,1,1
SIM1,0,1,1
SIL1,0,1,1
PDE1A,1,0,1
KIF1A,1,0,1
HPN,0,1,1
RHOD,0,1,1
OLIG1,0,1,1
NINJ1,0,1,1
BRCC3,0,1,1
RAB5C,0,1,1
RAB39B,0,1,1
CCL23,0,1,1
IFITM3,1,0,1
COX11,1,0,1
CER1,1,0,1
HIP1R,1,0,1
RRAS2,1,0,1
SLC16A7,1,0,1
ARF5,1,0,1
COMMD1,1,0,1
GPR182,1,0,1
RPN1,1,0,1
TNK1,0,1,1
PDK3,0,1,1
KMT5C,0,1,1
ACTL6A,0,1,1
QSOX1,1,0,1
PLOD2,1,0,1
PGRMC2,1,0,1
TBC1D3,1,0,1
PRRC2C,1,0,1
GDF3,1,0,1
ALPG,1,0,1
CAPZB,1,0,1
PFN2,1,0,1
RIOK3,0,1,1
RPL7,1,0,1
ADI1,1,0,1
WFS1,0,1,1
HOOK3,0,1,1
PORCN,0,1,1
DUOX2,0,1,1
TNFSF4,0,1,1
WDR48,0,1,1
RMND5B,1,0,1
RMND5A,1,0,1
PEX10,1,0,1
MKRN3,1,0,1
CASQ1,1,0,1
PRSS1,1,0,1
SIX2,1,0,1
TRH,1,0,1
RUNX1T1,1,0,1
TOX2,0,1,1
TRIM50,1,0,1
LHX1,0,1,1
CALML3,0,1,1
MAGEC2,0,1,1
FABP5,0,1,1
HOMER2,0,1,1
UTS2,0,1,1
NKX6-3,0,1,1
TRIM49,1,0,1
TRIM36,1,0,1
TRIM31,1,0,1
DEFB1,0,1,1
SIAH3,1,0,1
RNF44,1,0,1
RNF213,1,0,1
RNF157,1,0,1
LITAF,1,0,1
CASP14,1,0,1
TPI1,1,0,1
LMO1,0,1,1
PDCD6,0,1,1
DDAH1,0,1,1
ZNF462,0,1,1
ZNF384,0,1,1
UCHL1,0,1,1
IL37,1,0,1
MDH1,1,0,1
PGRMC1,1,0,1
LZTS2,1,0,1
LEMD3,1,0,1
LAMTOR1,1,0,1
VPS41,1,0,1
PKIB,0,1,1
ABAT,0,1,1
RUVBL2,0,1,1
UBR2,0,1,1
UBIAD1,0,1,1
XCL2,0,1,1
XCL1,0,1,1
TET3,0,1,1
CXCR6,1,0,1
IRF6,1,0,1
PSMD9,1,0,1
PIK3IP1,1,0,1
GYPA,1,0,1
MYL5,1,0,1
SARAF,1,0,1
PYGO1,1,0,1
GTF2H2,0,1,1
GTF2H1,0,1,1
GSTO1,0,1,1
ZBTB7A,0,1,1
ZIC3,0,1,1
ARHGAP4,0,1,1
MLXIP,1,0,1
ELL,1,0,1
E2F8,1,0,1
SLC25A31,1,0,1
LCN1,1,0,1
HLF,1,0,1
WASF3,1,0,1
MSH5,1,0,1
C1QC,1,0,1
PIK3C2G,1,0,1
ARHGEF26,0,1,1
ZFP91,0,1,1
CNTN6,0,1,1
CNOT9,0,1,1
FGD5,0,1,1
FGD4,0,1,1
FGD1,0,1,1
FEV,0,1,1
NCOA7,0,1,1
FANCE,1,0,1
SOX7,1,0,1
MYO1C,1,0,1
TMEFF2,1,0,1
CAMTA1,0,1,1
ABCB11,1,0,1
SMARCD1,1,0,1
PARG,0,1,1
HUS1,0,1,1
IGSF1,0,1,1
DNER,0,1,1
DNAJB9,0,1,1
AZI2,0,1,1
KCNJ5,1,0,1
KCNJ2,1,0,1
KCNA4,1,0,1
GJA8,1,0,1
DYNLRB1,1,0,1
APOBEC3B,1,0,1
SERPIND1,1,0,1
SETMAR,1,0,1
INTS6,0,1,1
CDC42EP3,0,1,1
CDH10,0,1,1
CDCA7L,0,1,1
IL36B,0,1,1
IL36A,0,1,1
TCF7L1,0,1,1
EID2,0,1,1
NUMBL,0,1,1
TPH2,1,0,1
SEC14L2,1,0,1
RGS18,1,0,1
PSMC5,1,0,1
PDE8A,1,0,1
PDE10A,1,0,1
KCNN2,1,0,1
CCL1,0,1,1
CCK,0,1,1
PLA2G10,1,0,1
HDC,1,0,1
SIRPB1,1,0,1
TBKBP1,0,1,1
IL31,0,1,1
STK19,0,1,1
PPID,0,1,1
ORC3,0,1,1
SEPTIN8,1,0,1
STXBP3,1,0,1
RGS7,1,0,1
RAB37,1,0,1
DGKZ,1,0,1
BATF,1,0,1
CDH13,0,1,1
CDH12,0,1,1
RORB,0,1,1
MAGEA3,0,1,1
ARHGEF28,0,1,1
NRBP1,0,1,1
RPGR,0,1,1
ATG101,0,1,1
ATE1,0,1,1
PNP,0,1,1
TRAF3IP2,1,0,1
PBXIP1,1,0,1
PAGE4,1,0,1
PRICKLE2,1,0,1
SNAP29,1,0,1
IL18RAP,1,0,1
TMEM219,1,0,1
VAPB,1,0,1
MT1G,1,0,1
PRKRA,0,1,1
IRX5,0,1,1
TLX3,0,1,1
WNK2,0,1,1
WLS,0,1,1
TIAM2,0,1,1
DNAJA1,1,0,1
ATP5F1A,1,0,1
ARF4,1,0,1
IFI44,1,0,1
PAX9,1,0,1
H2AC8,1,0,1
BANF1,1,0,1
CCNB2,1,0,1
CAPNS1,0,1,1
PTTG2,1,0,1
POM121,1,0,1
NUP210,1,0,1
NDUFV3,1,0,1
NDUFS2,1,0,1
NDUFB6,1,0,1
NDUFA12,1,0,1
DHX29,1,0,1
BTN3A1,1,0,1
RAB14,1,0,1
MYL6,1,0,1
EDA2R,1,0,1
DLD,1,0,1
CRLF3,1,0,1
ASPN,1,0,1
TNNI1,1,0,1
ING5,1,0,1
CEP63,0,1,1
BBS1,0,1,1
PFKFB4,0,1,1
PF4V1,0,1,1
MMP25,0,1,1
TSSK4,0,1,1
PKP2,0,1,1
LSAMP,0,1,1
HIRA,1,0,1
CUL4B,1,0,1
ARID4A,1,0,1
VGLL4,1,0,1
TFPT,1,0,1
SRSF9,1,0,1
RBBP5,1,0,1
GKN1,1,0,1
GJA4,1,0,1
ID4,0,1,1
PRCC,0,1,1
PPRC1,0,1,1
RASSF6,0,1,1
DDX3Y,1,0,1
ARFGAP3,1,0,1
SDS,1,0,1
INSRR,1,0,1
CORO1A,1,0,1
TSPYL2,1,0,1
SRSF6,1,0,1
POLM,1,0,1
NUP133,1,0,1
NPAT,1,0,1
CDYL,1,0,1
RS1,1,0,1
THEM4,0,1,1
STYK1,0,1,1
MACC1,0,1,1
CORIN,0,1,1
ESRRB,1,0,1
GPR83,1,0,1
RBFOX1,1,0,1
GPRIN1,1,0,1
PPP2R2D,1,0,1
POLQ,1,0,1
HCN1,1,0,1
CARTPT,1,0,1
PLA2G7,1,0,1
CITED1,1,0,1
NUP62,1,0,1
EXOC8,1,0,1
YTHDF2,1,0,1
SNED1,1,0,1
SHC4,1,0,1
GLE1,1,0,1
DYNC1I2,1,0,1
DNAJC30,1,0,1
CEP170,1,0,1
ATG2B,1,0,1
AKAP4,1,0,1
SLC1A2,1,0,1
UBE2C,1,0,1
STEAP4,1,0,1
ANO7,1,0,1
SNRPN,1,0,1
CREB3L2,1,0,1
MGA,1,0,1
RBFOX3,1,0,1
FTL,1,0,1
FAAP100,0,1,1
FKBP6,0,1,1
TIPRL,0,1,1
RASA2,0,1,1
CBR3,1,0,1
HBD,1,0,1
MYOF,1,0,1
ADCY4,1,0,1
ADCY10,1,0,1
TLN2,1,0,1
PIP4K2B,1,0,1
MYL4,1,0,1
ATP7B,1,0,1
AQP9,1,0,1
ERAL1,1,0,1
APOD,0,1,1
CELF4,0,1,1
CDO1,0,1,1
BCL11A,0,1,1
BCAN,0,1,1
YKT6,1,0,1
LLGL1,1,0,1
NLRP5,1,0,1
MIIP,1,0,1
NAE1,1,0,1
LBP,1,0,1
DNPEP,1,0,1
STXBP2,1,0,1
EXOSC9,1,0,1
DPF3,1,0,1
CALU,1,0,1
DBH,1,0,1
MYO15A,0,1,1
CXXC4,0,1,1
FBXL3,0,1,1
CSRP2,0,1,1
ZBTB33,1,0,1
AFF3,1,0,1
EXOC2,1,0,1
MAGI1,1,0,1
WHRN,1,0,1
MYL6B,1,0,1
EFTUD2,1,0,1
PTRH2,1,0,1
PPP2R3A,1,0,1
POLN,1,0,1
GPS1,1,0,1
RUVBL1,1,0,1
CIP2A,1,0,1
CDX4,1,0,1
POLI,1,0,1
CETN3,1,0,1
RMI2,1,0,1
PHLDB2,1,0,1
CHD1,1,0,1
CAAP1,1,0,1
SEPTIN2,1,0,1
PSMD3,1,0,1
MUS81,1,0,1
MAPRE2,1,0,1
DTYMK,1,0,1
LYVE1,1,0,1
SCARA5,1,0,1
MEX3D,1,0,1
PPP2R3B,1,0,1
EBF1,1,0,1
REC8,1,0,1
DIAPH2,1,0,1
SOX8,1,0,1
PSMD7,1,0,1
PSMC2,1,0,1
PSMB1,1,0,1
MAEA,1,0,1
IHO1,1,0,1
TTF1,1,0,1
VANGL2,1,0,1
CCDC65,1,0,1
ARNT2,1,0,1
CLDN12,1,0,1
CYP51A1,1,0,1
OPCML,1,0,1
RPS11,1,0,1
RAB10,1,0,1
SLC45A2,1,0,1
CPSF3,1,0,1
PPFIBP1,1,0,1
MPP5,1,0,1
CAVIN2,1,0,1
CIR1,1,0,1
NOP53,1,0,1
NABP2,1,0,1
MLLT1,1,0,1
